Equipment,Family_type,Scaling_quantity,Unit,Min_Scale,Max_Scale,Min_Cost,Max_Cost,Scaling_Factor,CEPCI
Screw conveyor/ribbon dryer,"(continuous, conduction) c/s atmospheric, including motor, variable speed drive, feeder and discharge",area,m2,1,30,35982,296419,0.62,1000.00
Solid band,"(continuous, conduction), c/s including fans, motors, conveyor feeder for bands greater than 6 m long. Band width 1.2, 1.5, 2 and 2.8 m. For low temperatures",area,m2,1.5,25,18353,342319,1.04,1000.00
Tray or truck dryers,"(batch, convection) insulated aluminum panel, steel frame designed for side to side circulation, atmospheric pressure, steam heating including steam heating oils, fan, motor, drive, instrumentation excluding trays and trucks",area,m2,2,100,17090,72671,0.37,1000.00
Tray or truck dryers,"(batch, convection), brick enclosure with back to front circulation, atmospheric pressure, steam heating including steam heating oils, fan, motor, drive, instrumentation excluding trays and trucks",area,m2,2,100,29218,124244,0.37,1000.00
Open sand bed for drying sludge,"(batch, convection) including normal excavations, piping for sludge, distribution, sand and gravel drainage beds and underground collection piping",area,m2,560,4185,106861,395000,0.65,1000.00
Open sand bed for drying sludge,"(batch, convection) including normal excavations, piping for sludge, distribution, sand and gravel drainage beds and underground collection piping (large)",area,m2,4185,45000,395000,4247312,1,1000.00
Spray dryer,"(continuous, indirect convection) c/s, inlet temperature 150 hC exit temperature 75 hC, including instrumentation, pressure nozzle atomization, residence time about 16 s, access platform, support steel, air preheater, feed system, fan, motor and drive and dust collectors",water evap/s,kg/s,0.1,10,760379,5260536,0.42,1000.00
Flash/transported bed dryer,"(continuous, indirect convection) c/s inlet temperature 650 hC, including dust separators, motors, cage mill/pulverizer",water evap/s,kg/s,0,3,175727,1215734,0.42,1000.00
Fluidized bed dryer,"(continuous, indirect or direct convection) direct gas fired, including auxiliaries but excluding support structure, c/s",area,m2,0.3,1000,16104,1185955,0.53,1000.00
Turbo dryer,"(continuous, indirect convection) c/s packaged, or for sizes greater than 40 m2 field erected outside including TEFC motors, drive, insulation, variable speed drive, excluding internal or external heaters",volume,m3,5,42,96642,183000,0.3,1000.00
Turbo dryer,"(continuous, indirect convection) c/s packaged, or for sizes greater than 40 m2 field erected outside including TEFC motors, drive, insulation, variable speed drive, excluding internal or external heaters (large)",volume,m3,42,512,183000,929746,0.65,1000.00
Desolventizer,"(continuous, convection) FOB for soybean leaching operation",mass flowrate,kg/s,6,18,878130,1487911,0.48,1000.00
Toaster,continuous convection,mass flowrate,kg/s,6,18,955304,1618676,0.48,1000.00
Tunnel dryer,"(continuous, convection) insulated aluminum panels, s/s conveying apron including heating coils, fans, motors, drives and instrumentation",area,m2,15,100,198865,1183133,0.94,1000.00
Rotary dryer,"(continuous, indirect convection) atmospheric, steam tube, c/s including shell and flights, motor, drive, intake hopper, discharge",area,m2,40,700,77961,667045,0.75,1000.00
Rotary kiln/dryer hot air indirect,"(continuous, indirect convection) hot air, c/s including solids feeder, motor, drive, shell and flights and heating equipment instrumentation",area,m2,10,400,59000,2360000,1,1000.00
Rotary roto louvre,"(continuous, indirect or direct convection) atmospheric, c/s including heater or steam coil, dust collection, fans, motors, derives and controls",area,m2,5,100,115503,740000,0.62,1000.00
Solid band,"(convection), c/s including fans, motors, direct firing, conveyor feeder for bands greater than 6 m long. Band width 1.2, 1.5, 2 and 2.8 m. For intermediate temperatures, 260 hC",area,m2,1.5,25,30588,570532,1.04,1000.00
Belt/band,"with flow through circulation (convection) c/s including fan, motor, feeders",area,m2,1,10,35000,350000,1,1000.00
Belt/band,"with flow through circulation (convection) c/s including fan, motor, feeders (large)",area,m2,20,40,450000,900000,1,1000.00
Vibrating conveyor belt,"(convection) c/s, including motor, feeders",area,m2,1,30,29582,497784,0.83,1000.00
Rotary kiln/dryer direct fired,"(continuous, direct convection) hot air, c/s including induced draft fan, stack, cyclone, oil burner, solids feeder, motor, drive, shell and flights and instrumentation",area,m2,10,400,43502,1117704,0.88,1000.00
Grizzly bar screen,Screen with drive but excluding motor and starter,volume,m3,4.5,15,96535,160063,0.42,1000.00
Fixed inclined wedge wire screen,"with pneumatic wrapper and controls, 45 degrees horizontal; height = 1.83 m",width,m,0.3,1,37111,83144,0.67,1000.00
Preliminary treatment unit,"bar screen, grit chamber, overflow and bypass chamber and Parshall flume",volumetric flowrate,L/s,1,10000,20080,7290710,0.64,1000.00
Grit removal,unit including controlled velocity grit chamber with grit removal and washing equipment,volumetric flowrate,L/s,0.3,200,5556,306635,0.6,1000.00
Primary clarifier,cylindrical c/s for above ground installation excluding painting and mechanism,area,m2,50,800,94508,338349,0.46,1000.00
Primary clarifier,"rectangular basin, concrete excluding the earthwork and mechanism",area,m2,60,400,55301,160000,0.56,1000.00
Primary clarifier,"rectangular basin, concrete excluding the earthwork and mechanism (large)",area,m2,400,800,160000,437133,1.45,1000.00
Primary clarifier,"rectangular basin, concrete, chain and flight collector, collector drive mechanism, weirs, troughs, piping excluding the earthwork",area,m2,80,4000,41099,2702264,1.07,1000.00
Hydrocyclone,"c/s cyclone only excluding piping, instrumentation and pumps",diameter,cm,2,200,402,55521,1.07,1000.00
Hydrocyclone,"c/s cyclone for aqueous:oil ratio of 1:1 excluding piping, instrumentation and pumps","c/s cyclone for aqueous:oil ratio of 1:1 excluding piping, instrumentation and pumps",m2/kPa,3,20,258,16427,2.19,1000.00
Thickener,"conventional with central mechanism, c/s tank, motor, drive, weirs, baffles excluding sludge pump",area,m2,40,800,142963,812493,0.58,1000.00
Thickener,"conventional with central mechanism, rubber-lined c/s tank, motor, drive, weirs, pumps and pump boxes for acid-leached mineral processing with some flocculant addition",area,m2,70,2800,472446,2775500,0.48,1000.00
Thickener,"single compartment, concrete with 3 m walls, overflow weir, launder excluding central rake, excavation, site preparation, piping feed launder, overflow pump",area,m2,80,2000,367480,1248681,0.38,1000.00
Thickener mechanism,"unpainted c/s including drive, motor, access platform, central shaft and bridge but excluding inlet pipe and overflow launders",area,m2,60,7000,71397,1365170,0.62,1000.00
CCD,circuit single thickener stage,area,m2,8,2000,84099,1329724,0.5,1000.00
Tubular bowl,s/s excluding motor and drive,diameter,cm,4.5,15,15496,98959,1.54,1000.00
Solid bowl,"disc, manual discharge batch, 316 s/s excluding motor and drive",diameter,cm,25,100,133818,640978,1.13,1000.00
Solid bowl,"disc, intermittent nozzle discharge, 316 s/s excluding motor and drive",volumetric flowrate,L/s,1,30,61087,838169,0.77,1000.00
Solid bowl,"disc, intermittent nozzle discharge, c/s with motor drive, sludge pumps, sludge cake conveying and hoists for waste water sludge dewatering","disc, intermittent nozzle discharge, c/s with motor drive, sludge pumps, sludge cake conveying and hoists for waste water sludge dewatering",Mg/h,0.2,8,455956,8100842,0.78,1000.00
Solid bowl,"horizontal with continuous scroll discharge, 316 s/s excluding motor, drive, polymer feed system and electrical control panel",area,m2,150,10000,62269,682181,0.57,1000.00
Vertical basket,"under-driven with batch top discharge: c/s, excluding motor and drive",diameter,cm,30,125,29180,128724,1.04,1000.00
Vertical basket,"top-driven, suspended basket: with batch top discharge: c/s, excluding motor and drive, fume hood and automatic feed controls",diameter,cm,30,125,30000,125000,1,1000.00
Batch automatic,"horizontal, 316 s/s excluding motor and drive and unsealed against oxygen",diameter,cm,35,200,124497,675168,0.97,1000.00
Pusher,"horizontal, centrifugal filter with pusher or reciprocating conveyor: 316 s/s excluding motor and drive",diameter,cm,30,140,150000,700000,1,1000.00
"Filter, plate and frame","cast iron, with frames, plates, stand excluding filter medium",area,m2,1,150,4509,70953,0.55,1000.00
"Filter, plate and frame","yellow pine, with frames, plates, stand excluding filter medium",area,m2,1,150,4490,54996,0.5,1000.00
"Filter, plate and frame","aluminum, with frames, plates, stand excluding filter medium",area,m2,1,150,4477,116276,0.65,1000.00
"Filter, plate and frame","316 s/s, with frames, plates, stand excluding filter medium",area,m2,1,150,12313,319758,0.65,1000.00
"Filter, plate and frame, diaphragm","cast iron or polypropylene, recessed plate, 2.5 cm chambers, all equipment for automatic operation, chemical feed system, excluding sludge pump and conveyor",volume,m3,0.7,3,250575,600000,0.6,1000.00
"Filter, plate and frame, diaphragm","cast iron or polypropylene, recessed plate, 2.5 cm chambers, all equipment for automatic operation, chemical feed system, excluding sludge pump and conveyor (large)",volume,m3,3,8,600000,1381099,0.85,1000.00
Leaf filter,"pressure, vertical, c/s, wet discharge including c/s tank, 304 s/s leaves and internal filtrate manifold, quick opening closure",area,m2,2,150,19978,234068,0.57,1000.00
Leaf filter,"pressure, horizontal, c/s, dry cake discharge including c/s tank, 304 s/s leaves and internal filtrate manifold, quick opening closure",area,m2,3,150,37882,278551,0.51,1000.00
Leaf filter,"pressure, horizontal, c/s, dry cake discharge including c/s tank, 304 s/s leaves and internal filtrate manifold, quick opening closure",area,m2,1,100,29303,533224,0.63,1000.00
Leaf filter,"pressure, horizontal, c/s, dry cake discharge including c/s tank, 304 s/s leaves and internal filtrate manifold, quick opening closure. Precoat facilities including tank, mixer, pumps and distribution unit",area,m2,1,100,28131,511895,0.63,1000.00
Leaf filter,"pressure, as applied to sludge dewatering",press volume,m3 ,1,15,1413498,3100000,0.29,1000.00
Leaf filter,"pressure, as applied to sludge dewatering (large)",press volume,,15,60,3100000,13289991,1.05,1000.00
Leaf filter,"vacuum, horizontal, c/s, including tank and leaves",,m2,0.5,150,7507,230000,0.6,1000.00
"Rotary drum filter, vacuum, c/s with swing agitator, panel or wire-wound drum, wash apparatus, variable speed drum drive, trunions, stuffing boxes, scraper discharge, motor and drive excluding vacuum system and vacuum receiver",,total drum area,m2,2,22,115311,210000,0.25,1000.00
"Rotary drum filter, vacuum, c/s with swing agitator, panel or wire-wound drum, wash apparatus, variable speed drum drive, trunions, stuffing boxes, scraper discharge, motor and drive excluding vacuum system and vacuum receiver",,total drum area,m2,22,200,210000,984565,0.7,1000.00
"Rotary drum filter, vacuum, c/s with swing agitator, panel or wire-wound drum, wash apparatus, variable speed drum drive, trunions, stuffing boxes, scraper discharge, motor and drive including vacuum system and vacuum receiver",,total drum area,m2,2.4,22,156781,333000,0.34,1000.00
"Rotary drum filter, vacuum, c/s with swing agitator, panel or wire-wound drum, wash apparatus, variable speed drum drive, trunions, stuffing boxes, scraper discharge, motor and drive including vacuum system and vacuum receiver",,total drum area,m2,22,60,333000,607969,0.6,1000.00
"Rotary drum filter, vacuum, acid accepting with swing agitator, panel or wirewound drum, wash apparatus, variable speed drum drive, trunions, stuffing boxes, scraper discharge, motor and drive including vacuum system and vacuum receiver excluding repulper, filtrate receiver, moisture traps and filtrate pumps",,total drum area,m2,2,100,58919,749175,0.65,1000.00
"Rotary drum filter, vacuum, for waste water sludge dewatering, s/s coil, wash apparatus, variable speed drum drive, trunions, stuffing boxes, scraper discharge, motor and drive, vacuum system and vacuum receiver, conditioning tank, chemical feeder, wet-type lime feeder, electrical panel, excluding sludge pump, belt conveyor, building, heating and ventilation",,total drum area,m2,5.5,8.5,371467,400000,0.17,1000.00
"Rotary drum filter, vacuum, for waste water sludge dewatering, s/s coil, wash apparatus, variable speed drum drive, trunions, stuffing boxes, scraper discharge, motor and drive, vacuum system and vacuum receiver, conditioning tank, chemical feeder, wet-type lime feeder, electrical panel, excluding sludge pump, belt conveyor, building, heating and ventilation (large)",,total drum area,m2,8.5,75,400000,1089069,0.46,1000.00
"Rotary disk filter, vacuum, c/s, heavy duty mineral processing with filter and agitator but excluding vacuum system and vacuum receiver, filtrate pump, moisture trap and scrubber condenser",,total drum area,m2,8,100,101489,265000,0.38,1000.00
"Rotary disk filter, vacuum, c/s, heavy duty mineral processing with filter and agitator but excluding vacuum system and vacuum receiver, filtrate pump, moisture trap and scrubber condenser (large)",,,m2,100,250,265000,438645,0.55,1000.00
"Rotary disk filter, vacuum, 304 s/s, high hydraulic loading, filter and agitator, filter box, hood and repulper but excluding vacuum system and vacuum receiver",,,m2,20,100,330919,610000,0.38,1000.00
"Rotary disk filter, vacuum, 304 s/s, high hydraulic loading, filter and agitator, filter box, hood and repulper but excluding vacuum system and vacuum receiver",,,m2,100,500,610000,2357570,0.84,1000.00
Deep bed,"Gravity filter, (slow sand, rapid sand, dual media, multimedia, deep bed and high rate) including filter structure, underdrains, wash-water troughs, pipes, valves, backwash facilities, filter media, surface wash system, instrumentation, control and housing",area,m2,0.1,2400,34183,35988157,0.69,1000.00
Deep bed filter,Including media as standalone unit with c/s housing,area,m2,1,7,53833,231669,0.75,1000.00
Cartridge filter,"batch volume, less than 1 m3, c/s filter only",volume,m3,0.3,0.7,109,185,0.62,1000.00
Cartridge filter,"batch volume, greater than 1.5 m3, c/s filter only",volume,m3,1.5,6,916,1616,0.41,1000.00
"Table/pan filter, vacuum, horizontal tilting","c/s, open type, automatic valves, wash apparatus, variable speed drive, horizontal scroll feed, including drive and motor but excluding vacuum equipment, platforms, tanks, pumps and piping for feed and wash",area,m2,1,36,122597,400000,0.33,1000.00
"Table/pan filter, vacuum, horizontal tilting","c/s, open type, automatic valves, wash apparatus, variable speed drive, horizontal scroll feed, including drive and motor but excluding vacuum equipment, platforms, tanks, pumps and piping for feed and wash (large)",area,m2,36,140,400000,1201763,0.81,1000.00
"Belt filter, horizontal vacuum","316 s/s for parts contacting the liquid, including drive and motor but excluding vacuum equipment, platforms, tanks, pumps and piping for feed and wash",area,m2,10,60,427902,1346981,0.64,1000.00
"Belt filter, horizontal vacuum","c/s for dewatering sludge from waste water treatment, including drive and motor including vacuum equipment, platforms, tanks, pumps and piping for feed and wash",volumetric flowrate,L/s,0.2,1.6,252383,400000,0.2,1000.00
"Belt filter, horizontal vacuum","c/s for dewatering sludge from waste water treatment, including drive and motor including vacuum equipment, platforms, tanks, pumps and piping for feed and wash (large)",volumetric flowrate,L/s,1.6,300,400000,37981411,0.87,1000.00
"Microstrainer for waste water applications, c/s including screen and mechanism but excluding chamber, influent and effluent construction","Microstrainer for waste water applications, c/s including screen and mechanism but excluding chamber, influent and effluent construction",volumetric flowrate,L/s,44,155,54018,85000,0.36,1000.00
"Microstrainer for waste water applications, c/s including screen and mechanism but excluding chamber, influent and effluent construction","Microstrainer for waste water applications, c/s including screen and mechanism but excluding chamber, influent and effluent construction",volumetric flowrate,L/s,155,450,85000,199399,0.8,1000.00
"Revolving drum filter (microscreen), rotary screen mechanism, motor and drive","Revolving drum filter (microscreen), rotary screen mechanism, motor and drive",area,m2,1,950,26411,7821587,0.83,1000.00
Pachuca,"vertical cylinder with central draft tube, steeply sloped conical bottom with air introduction at the bottom, including lining",volume,m3,100,3000,199706,2159619,0.7,1000.00
Belt with shallow moving bed,,mass flowrate,kg/s,5,17,536365,965096,0.48,1000.00
DAF,"includes all necessary tankage, pumps, motors, piping, electrical, control and instrumentation, as well as all necessary labor and materials for installation. For sizes less than 50 m2 c/s vessels are used. Concrete basins are used for sizes greater than 50 m2",area,m2,5,1000,405636,5159772,0.48,1000.00
DAF,packaged plant but excluding concrete pad,area,m2,5,50,257028,776214,0.48,1000.00
Hydraulic press,"horizontal, c/s, 0.78 MPa with hydraulic system and drive",total pressing area,m2,0.5,27.5,208870,525000,0.23,1000.00
Hydraulic press,"horizontal, c/s, 0.78 MPa with hydraulic system and drive (large)",total pressing area,m2,27.5,80,525000,1527273,1,1000.00
Expeller,316 s/s with drive and motor,motor power,kW,2,100,83866,693474,0.54,1000.00
Mechanical cell,"induced draft flotation, c/s excluding connection and discharge boxes, motors, blowers and launders",volume,m3,1,2.8,13664,20000,0.37,1000.00
Mechanical cell,"induced draft flotation, c/s excluding connection and discharge boxes, motors, blowers and launders",volume,m3,2.8,25,20000,101067,0.74,1000.00
Electrostatic separator,"with motor, drive, switches but excluding rectifiers, transformers, air valve controls","with motor, drive, switches but excluding rectifiers, transformers, air valve controls",(kg*cm.65)/s,2,70,32275,253760,0.58,1000.00
Plate,"permanent, single gap, magnet only",width,cm,15,125,478,4153,1.02,1000.00
Grate,"permanent, c/s with four banks of magnetic tubes in drawer",length,cm,15,38,9600,24320,1,1000.00
Grate permanent,c/s with two banks of magnetic tubes in drawer,length,cm,15,63,2246,11367,1.13,1000.00
Suspended permanent,"rectangular of width 60 cm, including clearing bar",length,cm,45,120,11269,50538,1.53,1000.00
Suspended electromagnet,"rectangular, lift with transformer oil, ring and sling, DC disconnect but excluding rectifier","rectangular, lift with transformer oil, ring and sling, DC disconnect but excluding rectifier",kW,2,12,12000,72000,1,1000.00
Pulley,"tramp metal removal, 1000 G at 2.5 cm excluding surface lagging, drive and motor","tramp metal removal, 1000 G at 2.5 cm excluding surface lagging, drive and motor",m2.65,0,0.5,2963,33303,0.86,1000.00
Pulley,"ore cobbing, 1500 G at 2.5 cm excluding surface lagging, drive and motor","ore cobbing, 1500 G at 2.5 cm excluding surface lagging, drive and motor",m2.65,0.1,1,5294,61750,0.82,1000.00
"Belts/cross or in-line, permanent","with belt, magnet, drive and motor",width,cm,50,120,26075,88823,1.4,1000.00
"Dry drum/LGMS, permanent","530 G with drive, TEFC motor and chute","531 G with drive, TEFC motor and chute",m2.25,0,0.1,11459,16000,0.26,1000.00
"Dry drum/LGMS, permanent","530 G with drive, TEFC motor and chute (large)","531 G with drive, TEFC motor and chute (large)",m2.25,0.1,0.6,16000,43903,0.66,1000.00
"Dry drum/LGMS, permanent","530 G with drive, and open drip-proof motor",drum width,m,0.8,1.7,28117,50791,0.75,1000.00
"Dry drum magnet, High speed/MGMS, permanent","high intensity, alternating polarity, 75 cm diameter drum with motor, starter, housing and drive",drum width,m,30,180,54658,88666,0.27,1000.00
"Dry drum magnet High speed/MGMS, electro","75 cm diameter drum with motor, starter housing, drive, control panel but excluding rectifiers",drum width,m,30,180,49205,112191,0.46,1000.00
"Dry drum magnet High speed/MGMS, electro","75 cm diameter drum with motor, starter housing, drive, control panel but excluding rectifiers","76 cm diameter drum with motor, starter housing, drive, control panel but excluding rectifiers",kW,1.2,1.7,52716,64518,0.58,1000.00
"Dry drum magnet High speed/MGMS, electro","75 cm diameter drum with motor, starter housing, drive, control panel but excluding rectifiers (large)","76 cm diameter drum with motor, starter housing, drive, control panel but excluding rectifiers (large)",kW,4,7,83838,130449,0.79,1000.00
Dry rotor magnet HGMS (induction),"16 000 G; 6 cm diameter rotor with base, drive, starter, rectifier but excluding transformer, air valve, controls","17 000 G; 6 cm diameter rotor with base, drive, starter, rectifier but excluding transformer, air valve, controls",kg/s,0.2,3,43483,209146,0.58,1000.00
Dry rotor magnet HGMS (induction),"10ï¿½76 cm diameter rotor for 7 g/s linear cm with motor, drives, starters, housing and control panel","10ï¿½76 cm diameter rotor for 7 g/s linear cm with motor, drives, starters, housing and control panel",kW,0.5,4,43075,184665,0.7,1000.00
Wet rotor HGMS (induction),"with motor, drive, starter, rotating separation zones, waterproof magnetic coils, excluding rectifier and variable speed drive","with motor, drive, starter, rotating separation zones, waterproof magnetic coils, excluding rectifier and variable speed drive",kg/s,0.4,3.2,69118,284246,0.68,1000.00
"Wet drum/LGMS, permanent","500 G finisher, s/s wear shell and drive, excluding motor",drum width,m,1,3,30000,90000,1,1000.00
Hydrocyclone,wet classifier system of particulates where 65 % less than 74 microns,dry solids capacity,Mg/h,7.5,50,8517,20000,0.45,1000.00
Hydrocyclone,wet classifier system of particulates where 65 % less than 74 microns (large),dry solids capacity,Mg/h,50,380,20000,152000,1,1000.00
Gas cyclone,"classifier system with blowers, lines and all auxiliaries","classifier system with blowers, lines and all auxiliaries",Mg/h,0.1,0.9,61354,70000,0.06,1000.00
Gas cyclone,"classifier system with blowers, lines and all auxiliaries (medium)","classifier system with blowers, lines and all auxiliaries (medium)",Mg/h,0.9,10,70000,192449,0.42,1000.00
Gas cyclone,"classifier system with blowers, lines and all auxiliaries (large)","classifier system with blowers, lines and all auxiliaries (large)",lone,10,70,170000,838358,0.82,1000.00
Spiral classifier,including motor and drive,diameter,m,0.6,1.9,34702,187869,1.53,1000.00
Jig classifier,"with drive, motor and ragging","with drive, motor and ragging",Mg/d,40,350,17115,24747,0.17,1000.00
Jig classifier,"with drive, motor and ragging (large)","with drive, motor and ragging (large)",Mg/d,700,1400,40128,118320,1.56,1000.00
Table concentrator,"rubber top with liners, motor and drive","rubber top with liners, motor and drive",m2,2.3,8,15632,24183,0.35,1000.00
Humphrey spiral classifier,"c/s, 0.6 m diameter spiral with five turns with distribution and collection manifolds and supports","c/s, 0.6 m diameter spiral with five turns with distribution and collection manifolds and supports",Mg/h,100,1000,475000,4750000,1,1000.00
Dense media separator (DMS),"complete circuit with heavy media separators, screens, densifiers, magnetic separators, hoppers, sumps, launders, motors, drives and controls","complete circuit with heavy media separators, screens, densifiers, magnetic separators, hoppers, sumps, launders, motors, drives and controls",Mg/h,25,200,677873,985609,0.18,1000.00
Vibrating screen,"single deck, open housing, fixed elevation, c/s; including frame, pulley, eccentric, screen deck cloth, motor but excluding bottom hopper","single deck, open housing, fixed elevation, c/s; including frame, pulley, eccentric, screen deck cloth, motor but excluding bottom hopper",m2,0.3,1.5,26289,45000,0.3,1000.00
Vibrating screen,"single deck, open housing, fixed elevation, c/s; including frame, pulley, eccentric, screen deck cloth, motor but excluding bottom hopper","single deck, open housing, fixed elevation, c/s; including frame, pulley, eccentric, screen deck cloth, motor but excluding bottom hopper",m2,1.5,7.5,45000,122060,0.62,1000.00
Ejector,c/s installed,,kg/s,0,0.1,4941,10324,0.32,1000.00
Injector/ejector,,diameter,cm,3.8,25,1905,14302,1.07,1000.00
Burner,"FOB including blower, motor, automatic ignited pilot, fresh air system",MW,MW,0.2,0.5,1485,1800,0.16,1000.00
Burner,"FOB including blower, motor, automatic ignited pilot, fresh air system (large)",MW,MW,0.5,3,1800,8255,0.85,1000.00
Pipe/tubes,"including tube loop, c/s: Installed cost excluding pumps",volume*pipe diameter-1.5,m3*cm-1.5 ,0,0.1,80,20000,1,1000.00
Double pipe,"c/s in c/s, less than 4 MPa",area,m2,0.2,30,1944,4082,0.14,1000.00
Cascade exchanger,"(pipe loop with water flowing over outside), cast iron",area,m2,4,25,1400,8750,1,1000.00
Cascade/trombone cooler,cast iron,area,m2,1,30,523,7947,0.8,1000.00
Ejector into a tube,"add injector, c/s installed",mass flowrate,kg/s,0,0.1,4941,10324,0.32,1000.00
Injector/ejector,"used with a tube, injector only, c/s",discharge diameter,cm,3.8,25,1905,14302,1.07,1000.00
Static mixer,,diameter,cm,2.5,55,590,42049,1.38,1000.00
Gas catalytic reactor,Gas catalytic reactor,Gas catalytic reactor,Mg,0.4,200,19355,711538,0.58,1000.00
Multibed adiabatic,with inter-bed quench or heating,Volume,m3,10,180,517539,1644570,0.4,1000.00
Ozone regeneration,"from air, with air preparation equipment, ozone generator, dissolution equipment, off-gas recycling or destruction equipment, safety and monitoring equipment",mass flowrate,g/s,0.1,30,182680,8954060,0.67,1000.00
Ozone contact chamber,"reinforced concrete, baffles and cover, installed excluding ozone generation",liquid volume,m3 ,13,2600,25190,638057,0.61,1000.00
"Gas sparger, air diffuser only",unit price for 5.3 m sections of 23 cm diameter sparger including fittings to connect into gallery but excluding pipe to compressor or blower,area,m2,0.4,35,1200,120000,1,1000.00
"Aeration, sparger diffused air system","including blowers (including one standby blower to ensure reliability), drives, building, air piping, air diffusers but excluding the vessel",volumetric flowrate,m3/s,0.1,1.4,52671,475000,0.66,1000.00
"Aeration, sparger diffused air system","including blowers (including one standby blower to ensure reliability), drives, building, air piping, air diffusers but excluding the vessel (large)",volumetric flowrate,m3/s,1.4,23,475000,6415070,0.93,1000.00
"Diffused aeration system, installed including all piping, diffusers, blowers, air filters and blower house","Diffused aeration system, installed including all piping, diffusers, blowers, air filters and blower house",air flow rate,m3/s,0.3,15,386713,7681374,0.73,1000.00
Aeration basin,concrete excluding aeration,Volume,m3,90,10000000,137062,742637220,0.74,1000.00
Trickling filter,"including earthwork, structure, underdrain, rotary feed distributor and rock media",Volume,m3,100,1000,136898,545000,0.6,1000.00
Trickling filter,"including earthwork, structure, underdrain, rotary feed distributor and rock media (large)",Volume,m3,1000,23000,545000,8604329,0.88,1000.00
Trickling filter,"including earthwork, structure, underdrain, rotary feed distributor and plastic media",Volume,m3,100,8600,1238802,17934987,0.6,1000.00
Rotating biological contactor,"including rotating mechanism, motor and drive but excluding concrete structure",volumetric flowrate,L/s,0.5,12.5,140796,853958,0.56,1000.00
"Rotating biological contactor, including rotating mechanism, motor, drive, concrete structure, installed","Rotating biological contactor, including rotating mechanism, motor, drive, concrete structure, installed",volumetric flowrate,L/s,9,3000,3793099,332361541,0.77,1000.00
Cubic/monolithic reactor,graphite in c/s shell,heat transfer area,m2,1,20,3706,31095,0.71,1000.00
Multiple hearth furnace,"FOB furnace including drive and motor, gas blower, exit screw conveyor and inlet feeder",heat transfer area,m2,15,800,2603943,14979967,0.44,1000.00
Multiple hearth furnace,"for regeneration of adsorbent carbon: furnace only including drive and motor, exit screw conveyor and inlet feeder",mass flowrate,kg/s,0,10,31081,1293848,0.6,1000.00
Installed sintering unit,,mass flowrate,kg/s,1,100,959533,16674775,0.62,1000.00
Rotary kiln,incineration of low hazard material,power,kW,300,35000,1184148,12195789,0.49,1000.00
Rotary kiln,activated carbon regeneration,mass flowrate,kg/s,0,0.3,987796,4610626,0.62,1000.00
Rotary kiln,"direct fired flue gas for incineration, ore roasting, solid waste disposal (at 10.3 MJ/kg). Installed unit",wet solids,kg/s,0.4,6,555791,5405406,0.84,1000.00
Tunnel kiln for bricks,Tunnel kiln for bricks,mass flowrate,g/s,6,12,760470,1500000,0.98,1000.00
"PFTR, Shaft furnace","Installed unit including burden equipment, gas cleaning, blowers, conveyors, cowpers, cooling system, furnace gun but excluding bins and slag granulation",mass flowrate,kg/s,4.5,200,11500616,125558496,0.63,1000.00
"PFTR, Melting cyclone burner","PFTR, Melting cyclone burner",,m2,13.5,40,4536507,7724447,0.49,1000.00
Aerated lagoon,Aerated lagoon,Volume,m3,380,760000,129117,30741475,0.72,1000.00
Aerated lagoon,Aerated lagoon,Volume,m3,380,760000,180384,42947648,0.72,1000.00
"Open tank, jacketed with agitation","Open tank, jacketed with agitation",Volume,m3,0.3,75,11067,206509,0.53,1000.00
"Pressure vessel, jacketed with agitation, 0.3 MPa","vertical cylinder, dished ends, jacketed agitated vessel, jacket rated at 0.8 MPa, 175 hC, top entry agitator with packed seal, 1ï¿½2 kW/m3 , 9 nozzles, 4 baffles",Volume,m3,0.3,3,29858,75000,0.4,1000.00
"Pressure vessel, jacketed with agitation, 0.3 MPa","vertical cylinder, dished ends, jacketed agitated vessel, jacket rated at 0.8 MPa, 175 hC, top entry agitator with packed seal, 1ï¿½2 kW/m3 , 9 nozzles, 4 baffles (large)",Volume,m3,3,90,75000,454921,0.53,1000.00
Hydrogenator,"304s/s, agitator, cooling coils, 2.5 MPa",,mg,10,30,1250000,1897650,0.38,1000.00
Inoculation tank,"316 s/s with agitator, aerator and jacket",Volume,m3,0.1,0.8,19322,65320,0.5,1000.00
Fermenter,"316 s/s, 0.18 kPa g, cooling coil, agitator and motor drive, sparger",Volume,m3,2,40,184831,851726,0.51,1000.00
"Conventional activated sludge process including basin, aeration system, recycle pumping and secondary clarifier","Conventional activated sludge process including basin, aeration system, recycle pumping and secondary clarifier",volumetric flowrate,L/s,0.5,4400,166421,105145411,0.71,1000.00
Aeration basin,concrete excluding aeration,,m3,90,10000000,137062,742637220,0.74,1000.00
Sludge or coal incineration,(BFB),dry solids feed rate,kg/s,0.1,4,4131693,29189041,0.53,1000.00
Gaseous reactions catalyzed by solid catalyst,BFB,,m3,1,500,794690,51110221,0.67,1000.00
Gas reacting with solid,"(roasting, reduction, calcination) via BFB or series of BFB",mass flowrate,kg/s,0.1,100,4131693,160741507,0.53,1000.00
Mechanical surface aeration,"including aerator, motor, drive and supports",power,kW,0.8,75,15092,190000,0.55,1000.00
Mechanical surface aeration,"including aerator, motor, drive and supports (large)",power,kW,75,3700,190000,9373333,1,1000.00
